game_id,match_id,recorded_at,champion,player,rank,kills,deaths,assists,cs,vision,gold,patch,game_date,video_mb,video_filename,youtube_url
569099983,JP1_569099983,2026-03-07 00:54,Zaahen,Dopaminw#OUI,Challenger,10,3,14,21,39,12781,16.5,2026-03-06 18:32 JST,1093,[JP Challenger JG] Zaahen 10-3-14 - Dopaminw#OUI.mp4,https://www.youtube.com/watch?v=zY6n05q6dTc
569138784,JP1_569138784,2026-03-07 00:28,Evelynn,senzawa#JP1,Challenger,6,1,6,5,25,9509,16.5,2026-03-06 21:58 JST,848,[JP Challenger JG] Evelynn 6-1-6 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=VFmOy-aRbnY
569468413,JP1_569468413,2026-03-09 06:06,Taliyah,定风波#520,Challenger,6,0,3,4,18,7156,16.5,2026-03-08 11:33 JST,682,[JP Challenger JG] Taliyah 6-0-3 - 定风波#520.mp4,
569471698,JP1_569471698,2026-03-09 05:50,LeeSin,May#0823,Challenger,6,1,9,3,15,8941,16.5,2026-03-08 12:08 JST,827,[JP Challenger JG] LeeSin 6-1-9 - May#0823.mp4,
569500777,JP1_569500777,2026-03-09 05:30,XinZhao,Wsavh#JP1,Challenger,12,2,11,45,44,16783,16.5,2026-03-08 15:24 JST,1223,[JP Challenger JG] XinZhao 12-2-11 - Wsavh#JP1.mp4,
569501945,JP1_569501945,2026-03-09 05:02,Rengar,Badao1102c#2302,Challenger,11,4,5,27,44,15173,16.5,2026-03-08 15:33 JST,1293,[JP Challenger JG] Rengar 11-4-5 - Badao1102c#2302.mp4,https://www.youtube.com/watch?v=k2iASZGE3ks
569544477,JP1_569544477,2026-03-09 04:32,Ambessa,I Am AtomiK#シャドウ,Challenger,14,2,9,13,19,16159,16.5,2026-03-08 19:09 JST,1168,[JP Challenger JG] Ambessa 14-2-9 - I Am AtomiK#シャドウ.mp4,https://www.youtube.com/watch?v=RLLvTKgcATs
569560176,JP1_569560176,2026-03-09 04:05,Karthus,本間心鈴#美しい虚無,Challenger,13,5,10,13,14,14573,16.5,2026-03-08 20:27 JST,1056,[JP Challenger JG] Karthus 13-5-10 - 本間心鈴#美しい虚無.mp4,https://www.youtube.com/watch?v=s1YiTcw2R5c
569568981,JP1_569568981,2026-03-09 03:40,XinZhao,ねすてぃー#7474,Challenger,14,3,10,11,19,14922,16.5,2026-03-08 21:13 JST,1078,[JP Challenger JG] XinZhao 14-3-10 - ねすてぃー#7474.mp4,https://www.youtube.com/watch?v=5Cqo0PymZpA
569583532,JP1_569583532,2026-03-09 03:15,JarvanIV,Ankochan#20y,Challenger,9,6,15,67,51,18639,16.5,2026-03-08 22:05 JST,1745,[JP Challenger JG] JarvanIV 9-6-15 - Ankochan#20y.mp4,https://www.youtube.com/watch?v=-2mwx0Ez-SM
569598005,JP1_569598005,2026-03-09 02:35,Zyra,くるみかん#123,Challenger,1,0,4,1,12,6538,16.5,2026-03-08 22:51 JST,681,[JP Challenger JG] Zyra 1-0-4 - くるみかん#123.mp4,https://www.youtube.com/watch?v=9dCrKyr13Lg
569640503,JP1_569640503,2026-03-10 03:10,Qiyana,773#ナナミ,Challenger,12,0,3,27,16,12324,16.5,2026-03-09 02:17 JST,826,[JP Challenger JG] Qiyana 12-0-3 - 773#ナナミ.mp4,https://www.youtube.com/watch?v=NvCSFob7nFU
569699842,JP1_569699842,2026-03-10 02:51,Talon,I Am AtomiK#シャドウ,Challenger,9,10,10,41,39,17174,16.5,2026-03-09 16:32 JST,1571,[JP Challenger JG] Talon 9-10-10 - I Am AtomiK#シャドウ.mp4,https://www.youtube.com/watch?v=mUFvRlbHY-g
569717862,JP1_569717862,2026-03-10 02:15,Skarner,gaman#7897,Challenger,4,0,7,15,52,10603,16.5,2026-03-09 18:51 JST,1101,[JP Challenger JG] Skarner 4-0-7 - gaman#7897.mp4,https://www.youtube.com/watch?v=1EdB_hWKLXY
569735599,JP1_569735599,2026-03-10 01:49,Zaahen,Ankochan#20y,Challenger,8,4,17,62,52,18864,16.5,2026-03-09 20:37 JST,1601,[JP Challenger JG] Zaahen 8-4-17 - Ankochan#20y.mp4,https://www.youtube.com/watch?v=yuguGIDDjUg
569742295,JP1_569742295,2026-03-10 01:12,LeeSin,May#0823,Challenger,18,0,8,30,34,14400,16.5,2026-03-09 21:05 JST,994,[JP Challenger JG] LeeSin 18-0-8 - May#0823.mp4,https://www.youtube.com/watch?v=qvVDg3mfpvM
